language,page_title,domain,kingdom,phylum,class,order,suborder,superfamily,family,genus,species,Wikidata,Wikispecies,ADW,BOLD,CoL,GBIF,iNaturalist,IRMNG,ITIS,IUCN,NCBI,Open Tree of Life,RD,Species+
en,"Temple of Vesta, Tivoli",,,,,,,,,,,,,,,,,,,,,,,,
en,Vesta Temple,,,,,,,,,,,,,,,,,,,,,,,,
en,Vestal Virgin,,,,,,,,,,,,,,,,,,,,,,,,
en,La vestale (Mercadante),,,,,,,,,,,,,,,,,,,,,,,,
en,La vestale (Spontini),,,,,,,,,,,,,,,,,,,,,,,,
en,Vestalia,,,,,,,,,,,,,,,,,,,,,,,,
en,The Vision of the Twelve Goddesses,,,,,,,,,,,,,,,,,,,,,,,,
en,White Hall of the Winter Palace,,,,,,,,,,,,,,,,,,,,,,,,
en,Vestal Virgin,,,,,,,,,,,,,,,,,,,,,,,,
en,Aemilia (vestal),,,,,,,,,,,,,,,,,,,,,,,,
en,Aquilia Severa,,,,,,,,,,,,,,,,,,,,,,,,
en,Canuleia (priestess),,,,,,,,,,,,,,,,,,,,,,,,
en,Claudia (vestal),,,,,,,,,,,,,,,,,,,,,,,,
en,Clodia Laeta,,,,,,,,,,,,,,,,,,,,,,,,
en,Gegania (priestess),,,,,,,,,,,,,,,,,,,,,,,,
en,Junia Torquata,,,,,,,,,,,,,,,,,,,,,,,,
en,Licinia (1st-century BC vestal),,,,,,,,,,,,,,,,,,,,,,,,
en,Licinia (died 113 BC),,,,,,,,,,,,,,,,,,,,,,,,
en,Marcia (vestal),,,,,,,,,,,,,,,,,,,,,,,,
en,Postumia (vestal),,,,,,,,,,,,,,,,,,,,,,,,
en,Rhea Silvia,,,,,,,,,,,,,,,,,,,,,,,,
en,Tarpeia,,,,,,,,,,,,,,,,,,,,,,,,
en,Trial of the Vestal Virgins (114–113 BC),,,,,,,,,,,,,,,,,,,,,,,,
en,Tuccia,,,,,,,,,,,,,,,,,,,,,,,,
en,Veiled Vestal,,,,,,,,,,,,,,,,,,,,,,,,
en,Veneneia (priestess),,,,,,,,,,,,,,,,,,,,,,,,
en,Vestal Virgin Tuccia (Corradini sculpture),,,,,,,,,,,,,,,,,,,,,,,,
en,List of donkey breeds,,,,,,,,,,,,,,,,,,,,,,,,
en,Abyssinian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,American Mammoth Jackstock,,,,,,,,,,,,,,,,,,,,,,,,
en,Amiatina,,,,,,,,,,,,,,,,,,,,,,,,
en,Andalusian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Asinara donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Asno de las Encartaciones,,,,,,,,,,,,,,,,,,,,,,,,
en,Australian donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Balearic donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Balkan donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Baudet du Poitou,,,,,,,,,,,,,,,,,,,,,,,,
en,Bourbonnais Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Burro da Ilha Graciosa,,,,,,,,,,,,,,,,,,,,,,,,
en,Burro de Miranda,,,,,,,,,,,,,,,,,,,,,,,,
en,Castel Morrone donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Catalan donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Corsican donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Cotentin Donkey,,,,,,,,,,,,,,,,,,,,,,,,
